timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1593489706233,1,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.46_30.06.2020_88.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489706236,18,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223275,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.46_30.06.2020_89.json,13,ISO-8859-1,1,0,DNAPC,0,0
1593489706271,48,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526752,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.46_30.06.2020_90.json,34,ISO-8859-1,1,0,DNAPC,0,0
1593489706369,2,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.46_30.06.2020_91.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489706394,2,POST EMPTY_NAME,200,,DemoApp Thread Group 1-1,,true,,121,215,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST EMPTY_NAME_response_07.01.46_30.06.2020_92.unknown,2,ISO-8859-1,1,0,DNAPC,0,1
1593489706404,48,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526775,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.46_30.06.2020_93.json,34,ISO-8859-1,1,0,DNAPC,0,0
1593489706476,2,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.46_30.06.2020_94.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489706485,1,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.46_30.06.2020_95.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489706487,18,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223275,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.46_30.06.2020_96.json,13,ISO-8859-1,1,0,DNAPC,0,0
1593489706545,48,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526775,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.46_30.06.2020_97.json,33,ISO-8859-1,1,0,DNAPC,0,0
1593489706662,2,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.46_30.06.2020_98.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489706665,2,POST NULL_NAME,200,,DemoApp Thread Group 1-1,,true,,121,217,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST NULL_NAME_response_07.01.46_30.06.2020_99.unknown,2,ISO-8859-1,1,0,DNAPC,0,1
